Entity,Code,Year,Number of reported natural disasters
All disasters,,1970,83
All disasters,,1971,67
All disasters,,1972,69
All disasters,,1973,76
All disasters,,1974,75
All disasters,,1975,70
All disasters,,1976,88
All disasters,,1977,120
All disasters,,1978,115
All disasters,,1979,116
All disasters,,1980,124
All disasters,,1981,139
All disasters,,1982,164
All disasters,,1983,223
All disasters,,1984,164
All disasters,,1985,173
All disasters,,1986,147
All disasters,,1987,183
All disasters,,1988,199
All disasters,,1989,172
All disasters,,1990,278
All disasters,,1991,236
All disasters,,1992,220
All disasters,,1993,268
All disasters,,1994,252
All disasters,,1995,254
All disasters,,1996,231
All disasters,,1997,263
All disasters,,1998,300
All disasters,,1999,343
All disasters,,2000,424
All disasters,,2001,395
All disasters,,2002,438
All disasters,,2003,373
All disasters,,2004,368
All disasters,,2005,435
All disasters,,2006,430
All disasters,,2007,415
All disasters,,2008,367
All disasters,,2009,368
All disasters,,2010,415
All disasters,,2011,351
All disasters,,2012,364
All disasters,,2013,340
All disasters,,2014,329
All disasters,,2015,404
All disasters,,2016,349
All disasters,,2017,364
All disasters,,2018,323
All disasters,,2019,413
All disasters,,2020,407
All disasters,,2021,441
All disasters,,2022,440
All disasters,,2023,410
All disasters,,2024,83
Drought,,1970,9
Drought,,1971,14
Drought,,1972,14
Drought,,1973,15
Drought,,1974,13
Drought,,1975,12
Drought,,1976,9
Drought,,1977,20
Drought,,1978,15
Drought,,1979,14
Drought,,1980,21
Drought,,1981,23
Drought,,1982,29
Drought,,1983,54
Drought,,1984,30
Drought,,1985,20
Drought,,1986,6
Drought,,1987,16
Drought,,1988,21
Drought,,1989,9
Drought,,1990,16
Drought,,1991,27
Drought,,1992,27
Drought,,1993,18
Drought,,1994,20
Drought,,1995,14
Drought,,1996,9
Drought,,1997,20
Drought,,1998,29
Drought,,1999,29
Drought,,2000,42
Drought,,2001,42
Drought,,2002,38
Drought,,2003,23
Drought,,2004,19
Drought,,2005,25
Drought,,2006,20
Drought,,2007,12
Drought,,2008,19
Drought,,2009,31
Drought,,2010,28
Drought,,2011,25
Drought,,2012,31
Drought,,2013,15
Drought,,2014,21
Drought,,2015,39
Drought,,2016,32
Drought,,2017,28
Drought,,2018,20
Drought,,2019,28
Drought,,2020,20
Drought,,2021,25
Drought,,2022,40
Drought,,2023,17
Drought,,2024,7
Dry mass movement,,1980,1
Dry mass movement,,1982,1
Dry mass movement,,1983,3
Dry mass movement,,1985,2
Dry mass movement,,1987,1
Dry mass movement,,1988,3
Dry mass movement,,1989,3
Dry mass movement,,1990,2
Dry mass movement,,1991,3
Dry mass movement,,1992,4
Dry mass movement,,1993,2
Dry mass movement,,2000,1
Dry mass movement,,2002,1
Dry mass movement,,2004,1
Dry mass movement,,2006,1
Dry mass movement,,2008,3
Dry mass movement,,2009,1
Dry mass movement,,2012,1
Dry mass movement,,2013,1
Dry mass movement,,2015,1
Dry mass movement,,2017,1
Dry mass movement,,2018,1
Earthquake,,1970,12
Earthquake,,1971,6
Earthquake,,1972,7
Earthquake,,1973,8
Earthquake,,1974,6
Earthquake,,1975,5
Earthquake,,1976,21
Earthquake,,1977,14
Earthquake,,1978,9
Earthquake,,1979,22
Earthquake,,1980,17
Earthquake,,1981,15
Earthquake,,1982,15
Earthquake,,1983,26
Earthquake,,1984,13
Earthquake,,1985,17
Earthquake,,1986,21
Earthquake,,1987,15
Earthquake,,1988,15
Earthquake,,1989,19
Earthquake,,1990,41
Earthquake,,1991,29
Earthquake,,1992,25
Earthquake,,1993,20
Earthquake,,1994,25
Earthquake,,1995,26
Earthquake,,1996,13
Earthquake,,1997,23
Earthquake,,1998,30
Earthquake,,1999,33
Earthquake,,2000,30
Earthquake,,2001,25
Earthquake,,2002,37
Earthquake,,2003,40
Earthquake,,2004,42
Earthquake,,2005,25
Earthquake,,2006,24
Earthquake,,2007,21
Earthquake,,2008,23
Earthquake,,2009,22
Earthquake,,2010,24
Earthquake,,2011,30
Earthquake,,2012,27
Earthquake,,2013,29
Earthquake,,2014,26
Earthquake,,2015,23
Earthquake,,2016,30
Earthquake,,2017,22
Earthquake,,2018,20
Earthquake,,2019,31
Earthquake,,2020,16
Earthquake,,2021,28
Earthquake,,2022,31
Earthquake,,2023,32
Earthquake,,2024,6
Extreme temperature,,1971,1
Extreme temperature,,1972,2
Extreme temperature,,1973,3
Extreme temperature,,1975,3
Extreme temperature,,1977,1
Extreme temperature,,1978,1
Extreme temperature,,1979,4
Extreme temperature,,1980,3
Extreme temperature,,1981,2
Extreme temperature,,1982,3
Extreme temperature,,1983,2
Extreme temperature,,1984,1
Extreme temperature,,1985,8
Extreme temperature,,1986,2
Extreme temperature,,1987,5
Extreme temperature,,1988,6
Extreme temperature,,1989,5
Extreme temperature,,1990,13
Extreme temperature,,1991,8
Extreme temperature,,1992,8
Extreme temperature,,1993,4
Extreme temperature,,1994,9
Extreme temperature,,1995,13
Extreme temperature,,1996,5
Extreme temperature,,1997,13
Extreme temperature,,1998,12
Extreme temperature,,1999,8
Extreme temperature,,2000,30
Extreme temperature,,2001,23
Extreme temperature,,2002,16
Extreme temperature,,2003,27
Extreme temperature,,2004,19
Extreme temperature,,2005,30
Extreme temperature,,2006,33
Extreme temperature,,2007,25
Extreme temperature,,2008,12
Extreme temperature,,2009,27
Extreme temperature,,2010,34
Extreme temperature,,2011,18
Extreme temperature,,2012,52
Extreme temperature,,2013,17
Extreme temperature,,2014,18
Extreme temperature,,2015,14
Extreme temperature,,2016,13
Extreme temperature,,2017,11
Extreme temperature,,2018,27
Extreme temperature,,2019,23
Extreme temperature,,2020,6
Extreme temperature,,2021,3
Extreme temperature,,2022,40
Extreme temperature,,2023,10
Extreme temperature,,2024,2
Extreme weather,,1970,24
Extreme weather,,1971,22
Extreme weather,,1972,26
Extreme weather,,1973,22
Extreme weather,,1974,28
Extreme weather,,1975,25
Extreme weather,,1976,30
Extreme weather,,1977,29
Extreme weather,,1978,38
Extreme weather,,1979,30
Extreme weather,,1980,36
Extreme weather,,1981,47
Extreme weather,,1982,51
Extreme weather,,1983,55
Extreme weather,,1984,54
Extreme weather,,1985,49
Extreme weather,,1986,53
Extreme weather,,1987,57
Extreme weather,,1988,60
Extreme weather,,1989,72
Extreme weather,,1990,135
Extreme weather,,1991,66
Extreme weather,,1992,76
Extreme weather,,1993,107
Extreme weather,,1994,80
Extreme weather,,1995,80
Extreme weather,,1996,76
Extreme weather,,1997,79
Extreme weather,,1998,89
Extreme weather,,1999,106
Extreme weather,,2000,102
Extreme weather,,2001,105
Extreme weather,,2002,123
Extreme weather,,2003,87
Extreme weather,,2004,124
Extreme weather,,2005,130
Extreme weather,,2006,77
Extreme weather,,2007,104
Extreme weather,,2008,112
Extreme weather,,2009,87
Extreme weather,,2010,94
Extreme weather,,2011,87
Extreme weather,,2012,91
Extreme weather,,2013,105
Extreme weather,,2014,99
Extreme weather,,2015,121
Extreme weather,,2016,86
Extreme weather,,2017,131
Extreme weather,,2018,96
Extreme weather,,2019,92
Extreme weather,,2020,126
Extreme weather,,2021,121
Extreme weather,,2022,109
Extreme weather,,2023,140
Extreme weather,,2024,24
Flood,,1970,31
Flood,,1971,15
Flood,,1972,15
Flood,,1973,20
Flood,,1974,18
Flood,,1975,17
Flood,,1976,16
Flood,,1977,47
Flood,,1978,47
Flood,,1979,34
Flood,,1980,39
Flood,,1981,41
Flood,,1982,48
Flood,,1983,49
Flood,,1984,46
Flood,,1985,57
Flood,,1986,49
Flood,,1987,66
Flood,,1988,75
Flood,,1989,46
Flood,,1990,60
Flood,,1991,76
Flood,,1992,59
Flood,,1993,84
Flood,,1994,88
Flood,,1995,93
Flood,,1996,95
Flood,,1997,96
Flood,,1998,96
Flood,,1999,123
Flood,,2000,156
Flood,,2001,156
Flood,,2002,173
Flood,,2003,159
Flood,,2004,134
Flood,,2005,191
Flood,,2006,232
Flood,,2007,219
Flood,,2008,174
Flood,,2009,159
Flood,,2010,189
Flood,,2011,160
Flood,,2012,141
Flood,,2013,149
Flood,,2014,139
Flood,,2015,166
Flood,,2016,164
Flood,,2017,129
Flood,,2018,128
Flood,,2019,195
Flood,,2020,206
Flood,,2021,222
Flood,,2022,181
Flood,,2023,166
Flood,,2024,31
Glacial lake outburst flood,,2021,2
Glacial lake outburst flood,,2022,1
Glacial lake outburst flood,,2023,1
Volcanic activity,,1971,3
Volcanic activity,,1973,1
Volcanic activity,,1975,3
Volcanic activity,,1976,5
Volcanic activity,,1977,5
Volcanic activity,,1978,2
Volcanic activity,,1979,4
Volcanic activity,,1980,2
Volcanic activity,,1981,1
Volcanic activity,,1982,3
Volcanic activity,,1983,7
Volcanic activity,,1984,7
Volcanic activity,,1985,2
Volcanic activity,,1986,2
Volcanic activity,,1987,2
Volcanic activity,,1988,4
Volcanic activity,,1989,1
Volcanic activity,,1990,2
Volcanic activity,,1991,10
Volcanic activity,,1992,5
Volcanic activity,,1993,6
Volcanic activity,,1994,6
Volcanic activity,,1995,5
Volcanic activity,,1996,5
Volcanic activity,,1997,4
Volcanic activity,,1998,4
Volcanic activity,,1999,5
Volcanic activity,,2000,5
Volcanic activity,,2001,6
Volcanic activity,,2002,7
Volcanic activity,,2003,2
Volcanic activity,,2004,5
Volcanic activity,,2005,8
Volcanic activity,,2006,12
Volcanic activity,,2007,6
Volcanic activity,,2008,7
Volcanic activity,,2009,3
Volcanic activity,,2010,6
Volcanic activity,,2011,6
Volcanic activity,,2012,1
Volcanic activity,,2013,3
Volcanic activity,,2014,7
Volcanic activity,,2015,7
Volcanic activity,,2016,1
Volcanic activity,,2017,2
Volcanic activity,,2018,9
Volcanic activity,,2019,4
Volcanic activity,,2020,4
Volcanic activity,,2021,9
Volcanic activity,,2022,5
Volcanic activity,,2023,4
Volcanic activity,,2024,1
Wet mass movement,,1970,6
Wet mass movement,,1971,6
Wet mass movement,,1972,5
Wet mass movement,,1973,5
Wet mass movement,,1974,10
Wet mass movement,,1975,5
Wet mass movement,,1976,6
Wet mass movement,,1977,3
Wet mass movement,,1978,2
Wet mass movement,,1979,7
Wet mass movement,,1980,4
Wet mass movement,,1981,8
Wet mass movement,,1982,12
Wet mass movement,,1983,16
Wet mass movement,,1984,6
Wet mass movement,,1985,6
Wet mass movement,,1986,9
Wet mass movement,,1987,14
Wet mass movement,,1988,15
Wet mass movement,,1989,15
Wet mass movement,,1990,5
Wet mass movement,,1991,9
Wet mass movement,,1992,8
Wet mass movement,,1993,25
Wet mass movement,,1994,11
Wet mass movement,,1995,16
Wet mass movement,,1996,24
Wet mass movement,,1997,13
Wet mass movement,,1998,22
Wet mass movement,,1999,18
Wet mass movement,,2000,28
Wet mass movement,,2001,24
Wet mass movement,,2002,20
Wet mass movement,,2003,21
Wet mass movement,,2004,16
Wet mass movement,,2005,13
Wet mass movement,,2006,20
Wet mass movement,,2007,10
Wet mass movement,,2008,12
Wet mass movement,,2009,29
Wet mass movement,,2010,33
Wet mass movement,,2011,17
Wet mass movement,,2012,13
Wet mass movement,,2013,11
Wet mass movement,,2014,15
Wet mass movement,,2015,20
Wet mass movement,,2016,13
Wet mass movement,,2017,25
Wet mass movement,,2018,12
Wet mass movement,,2019,26
Wet mass movement,,2020,19
Wet mass movement,,2021,12
Wet mass movement,,2022,17
Wet mass movement,,2023,24
Wet mass movement,,2024,7
Wildfire,,1970,1
Wildfire,,1973,2
Wildfire,,1976,1
Wildfire,,1977,1
Wildfire,,1978,1
Wildfire,,1979,1
Wildfire,,1980,1
Wildfire,,1981,2
Wildfire,,1982,2
Wildfire,,1983,11
Wildfire,,1984,7
Wildfire,,1985,12
Wildfire,,1986,5
Wildfire,,1987,7
Wildfire,,1989,2
Wildfire,,1990,4
Wildfire,,1991,8
Wildfire,,1992,8
Wildfire,,1993,2
Wildfire,,1994,13
Wildfire,,1995,7
Wildfire,,1996,4
Wildfire,,1997,15
Wildfire,,1998,18
Wildfire,,1999,21
Wildfire,,2000,30
Wildfire,,2001,14
Wildfire,,2002,23
Wildfire,,2003,14
Wildfire,,2004,8
Wildfire,,2005,13
Wildfire,,2006,11
Wildfire,,2007,18
Wildfire,,2008,5
Wildfire,,2009,9
Wildfire,,2010,7
Wildfire,,2011,8
Wildfire,,2012,7
Wildfire,,2013,10
Wildfire,,2014,4
Wildfire,,2015,13
Wildfire,,2016,10
Wildfire,,2017,15
Wildfire,,2018,10
Wildfire,,2019,14
Wildfire,,2020,10
Wildfire,,2021,19
Wildfire,,2022,16
Wildfire,,2023,16
Wildfire,,2024,5